# k pk_pkd pk_ref pk_pkd-SN pk_ref-SN
2.045145e+00 4.820754e+03 4.545449e+03 2.217625e+03 2.086392e+03
2.051437e+00 4.888020e+03 4.584803e+03 2.284891e+03 2.125746e+03
2.057724e+00 4.924960e+03 4.643707e+03 2.321831e+03 2.184650e+03
2.064004e+00 4.974294e+03 4.708819e+03 2.371165e+03 2.249762e+03
2.070293e+00 5.000706e+03 4.725394e+03 2.397576e+03 2.266337e+03
2.076585e+00 5.044770e+03 4.749042e+03 2.441640e+03 2.289986e+03
2.082854e+00 5.105198e+03 4.805676e+03 2.502068e+03 2.346619e+03
2.089123e+00 5.136168e+03 4.853670e+03 2.533039e+03 2.394613e+03
2.095417e+00 5.166164e+03 4.879908e+03 2.563035e+03 2.420852e+03
2.101703e+00 5.224268e+03 4.918749e+03 2.621139e+03 2.459692e+03
2.107973e+00 5.248426e+03 4.972198e+03 2.645296e+03 2.513141e+03
2.114256e+00 5.297785e+03 5.018781e+03 2.694655e+03 2.559725e+03
2.120538e+00 5.360207e+03 5.059798e+03 2.757078e+03 2.600742e+03
2.126821e+00 5.389465e+03 5.104271e+03 2.786336e+03 2.645214e+03
2.133107e+00 5.460074e+03 5.137286e+03 2.856945e+03 2.678229e+03
2.139400e+00 5.472995e+03 5.181553e+03 2.869866e+03 2.722497e+03
2.145689e+00 5.543887e+03 5.247892e+03 2.940757e+03 2.788835e+03
2.151958e+00 5.604785e+03 5.290022e+03 3.001655e+03 2.830966e+03
2.158240e+00 5.643400e+03 5.325759e+03 3.040270e+03 2.866703e+03
2.164530e+00 5.700407e+03 5.364719e+03 3.097278e+03 2.905663e+03
2.170817e+00 5.748673e+03 5.431037e+03 3.145544e+03 2.971980e+03
